station_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
VERONA PORTA NUOVA,0.20453317,-0.14100577,-0.11566927,-0.3876557,0.09300045,-0.5443779,-0.2722258,0.10348204,-0.29133695,-0.3646956,0.060230855,-0.25620756,-0.5377707,-0.48511183,0.16897653,0.0010988858,-0.35517922,0.4351895,0.0723927,0.36941627,-0.30619568,0.3108019,0.103444986,0.25085124,-0.28899026,0.27030715,-0.26896328,-0.48836508,0.16161707,0.11822041,-0.0862669,0.18408233,0.3738742,0.11464571,0.030331623,-0.16711193,-0.39794847,0.25266904,0.10148282,0.079199575,0.19768716,0.16263966,0.5627001,-0.25251728,0.12683433,-0.07171289,0.16450758,0.07955192,0.025780248,0.14252429,-0.22659653,0.032625705,-0.16389973,0.3931841,0.27891752,-0.2296886,-0.40422815,0.020814473,-0.03710419,-0.003262035,-0.1358657,-0.179658,0.23139364,0.10758683
PISA CENTRALE,0.050825283,-0.20284772,-0.37733197,-0.3841126,0.1429168,-0.5006717,-0.026483681,-0.43638495,-0.26687503,-0.025898628,-0.09644114,0.25034893,-0.30920917,-0.031044202,0.36805534,0.35532442,-0.033714157,-0.15465394,0.20000134,0.30454493,0.29786667,0.39405128,0.11904872,0.10579387,0.1875193,-0.11257176,0.12698013,0.1892266,0.24002631,-0.44997397,-0.3262088,-0.13987331,-0.12106046,0.09023055,-0.37982613,0.3188087,-0.35071582,-0.052199353,0.18548474,0.37192336,-0.18081073,-0.65840006,-0.055938877,0.15981947,-0.031649202,-0.09429019,0.11764983,-0.029952113,-0.07794129,0.20464161,0.12675522,-0.43442544,-0.051518895,0.59329224,0.64813167,0.30348447,0.24310195,0.13697009,-0.52796596,0.35473284,-0.26998395,-0.13697508,-0.33020133,-0.01108189
NOVARA,0.11301889,0.07338642,-0.5183669,-0.09068947,0.38771594,-0.14449951,-0.014115726,0.050930027,0.25710532,-0.5628241,-0.3085712,-0.07673877,-0.5197397,0.1827129,-0.15758695,0.12499015,0.68465674,-0.14165755,0.22210366,0.40037683,-0.056421798,0.022147145,0.46885756,0.16465053,-0.7157572,0.08184969,0.1181521,-0.38198936,0.22841805,-0.08315163,0.083526336,0.08918242,-0.38317484,0.08497037,0.20926607,0.29774135,-0.29365522,0.4525055,0.17483911,0.21482658,-0.6010078,0.40818787,0.7302685,-0.26976496,-0.66626346,0.12041326,0.15308939,-0.03840416,-0.03629011,-0.04370675,0.33638653,-0.0721248,0.2755559,0.759661,0.57357275,-0.334641,0.20487992,-0.047696628,-0.30500007,-0.85681474,-0.13751596,-0.36025,-0.06888217,-0.020925414
ROMA OSTIENSE,-0.016565649,0.018376304,-0.36657193,0.17186302,0.113011695,-0.14826606,-0.07147916,0.17961177,-0.3341695,0.078471,-0.09786322,0.4328762,-0.4301416,0.15977593,0.62964624,0.25976238,0.11638808,0.174232,0.32798472,0.4703557,0.29264808,-0.036159575,-0.14379482,-0.30860612,0.15447205,-0.40137523,-0.04264958,-0.059687447,0.06622044,-0.19435498,0.30434504,0.086277656,0.21611877,-0.3554974,-0.06698815,0.36868724,-0.28007963,0.056279894,-0.014394562,0.19862612,0.092770524,0.23017931,-0.024169797,-0.24478018,-0.22585696,-0.09561604,-0.30278462,0.0901619,0.2176024,0.36416245,0.055820733,-0.17216755,0.39411616,0.4991198,0.21487041,0.16871235,0.30835593,-0.28576627,-0.5995451,0.24519636,0.031696204,0.30941558,-0.36126113,0.2608358
MILANO ROGOREDO,-0.190025,-0.09417957,-0.07542087,-0.048531394,-0.10975721,-0.290665,0.04305421,-0.37089288,-0.4490301,-0.20017777,0.13891347,-0.020899083,-0.40986004,-0.1163114,-0.30821487,0.31421542,-0.26512897,-0.12195985,0.060742185,0.6420508,0.10976669,0.16194269,0.5459383,-0.38631022,-0.6493647,0.16451138,0.016708488,-0.1857539,0.3322695,-0.049310915,-0.18146668,0.22564586,-0.2827223,-0.061459735,0.37063357,-0.2871626,0.03692244,0.16387968,0.10551044,0.174839,-0.00519798,0.09896791,0.0836017,-0.08154062,-0.060884174,0.084359,0.15826197,-0.40974605,-0.2254571,-0.009498466,0.10363074,-0.10772997,0.019876415,0.7155737,-0.068116315,-0.20525056,0.39008456,-0.13657025,-0.122130774,-0.23169905,-0.28039563,-0.13454905,-0.20544057,-0.3862917
PADOVA,-0.08376851,-0.13911785,-0.2885989,-0.013544672,0.4180581,-0.78263867,-0.043255627,-0.11891894,-0.1745525,0.27176565,-0.375275,0.1960725,-0.434499,-0.3425935,-0.2780463,0.2879666,-0.46187314,0.04189086,0.86283785,0.34180146,-0.09526474,0.30041084,0.06448183,-0.06335474,-0.22218372,-0.013170526,-0.33621028,-0.15421556,-0.038997523,0.53129655,0.013847144,0.05716688,0.31118378,0.031827647,0.13418868,-0.10695825,-0.4802191,0.0045005274,0.28335315,0.006214336,0.04298213,0.23821342,0.49975473,-0.1214917,0.16308032,-0.36470684,0.058250945,0.021892112,-0.11457768,0.03441455,-0.04229563,0.04255719,0.06462418,0.21728735,0.050712578,0.24212222,-0.34931582,0.055770095,-0.026898393,0.16861086,-0.34050104,0.043721996,0.0930281,-0.14772885
RIMINI,0.116677865,-0.015007106,-0.2474414,0.03434091,0.09471391,0.002895185,0.19000359,0.14474447,-0.10129288,0.13954076,0.3499906,0.21249595,-0.066337295,-0.4957915,0.06668321,0.29155788,-0.52357894,0.73747575,0.029076958,0.57992524,-0.13486005,0.2318141,0.49569348,-0.17222673,-0.7038854,0.19957757,-0.12755288,0.11466845,0.0995957,0.17018174,-0.14683352,-0.075781606,-0.20151322,-0.10004018,0.14363621,-0.3336856,-0.011654458,0.41689822,0.18200341,-0.04575582,-0.36856824,0.3209416,-0.0013494648,0.041799836,0.11156534,0.015848167,0.08530004,-0.18128434,0.22474506,-0.15163992,-0.10228194,-0.04835479,-0.25109702,0.3084668,0.25995344,-0.12382164,-0.188012,0.24986586,-0.37367418,-0.1907033,-0.14244336,0.108396076,0.09558662,0.45790872
REGGIO CALABRIA CENTRALE,0.40611368,-0.19659224,-0.037047002,-0.14720483,0.42284206,-0.09732184,-0.38446924,0.20107466,-0.16253853,-0.10635625,0.076445654,-0.094707616,-0.049454022,-0.06268258,0.15867127,0.034856997,-0.042584386,-0.11098493,0.4396523,0.42930573,-0.08531609,0.37790954,0.27653855,-0.27153197,-0.227705,-0.10545193,0.4948987,-0.11607724,0.30987436,-0.22971646,0.058907267,0.34136096,-0.24828903,-0.65006655,-0.11599194,0.0152132455,-0.40708292,0.07884893,-0.4382209,-0.31072375,-0.13026334,0.42897132,3.85885e-05,-0.20180939,-0.56657904,-0.48089197,0.0510768,-0.14098546,0.42664653,-0.18206464,0.1824472,-0.6461836,0.10989591,0.1195899,-0.0017823962,-0.12206477,-0.10259073,-0.104683146,-0.053734142,0.34617478,-0.20805618,0.6572651,0.12929325,0.48638433
ALESSANDRIA,0.057749562,0.14833733,-0.1840663,-0.08375738,-0.24397314,-0.18685035,-0.21593544,0.66449875,0.25173151,0.3223555,-0.5322896,-0.088828415,-0.23220097,-0.15316,-0.103226736,0.22444384,0.32488036,0.1952829,0.30361167,0.7409315,-0.179283,0.35940278,0.42051437,0.0125649925,-0.6338964,-0.0014905583,0.22699104,0.13895252,0.068450205,-0.42095092,-0.29382762,0.2113733,0.050436806,0.38833705,0.22483443,-0.13649303,-0.07886056,0.16178448,0.30231786,0.23252793,-0.43528634,-0.1329472,0.56430024,-0.10521346,-0.102305934,0.24531262,0.04981019,-0.55757165,0.16373454,0.16184817,0.5170514,-0.4014109,0.10640008,0.4420559,0.24515536,-0.13281731,0.24737701,-0.56145954,-0.085376255,-0.50260884,-0.27832705,0.025151316,-0.50188637,-0.17845523
GENOVA P.PRINCIPE,0.03013078,0.11814548,-0.41017205,-0.29851085,-0.34865755,-0.48205963,0.30238962,-0.034980685,-0.16839802,0.080048405,-0.21241292,0.050505698,0.26578307,-0.36188257,0.2644966,0.11449372,0.09972488,0.32668245,0.22138415,0.5433431,-0.35121405,0.569157,0.008756122,-0.2579821,-0.27900553,-0.1335083,-0.11720957,-0.117529735,-0.021938518,-0.0061891316,0.4002819,0.12888141,-0.13041423,0.32756045,-0.12367378,-0.035424694,-0.11588967,0.29921535,-0.22255798,0.0006892246,-0.3351552,-0.18359144,0.25739327,-0.21476708,-0.34593567,-0.08197739,0.24393524,-0.45117933,-0.2532131,-0.07607481,0.15928403,0.0285305,0.3056173,0.5853434,0.43786442,-0.076499924,0.27947357,-0.21551365,-0.4577389,-0.08318541,-0.28009754,0.104752496,-0.40596434,-0.24160212
